Country,League,Year,Stadium,Club,Stadium Capacity,Season Total Spectators,Season Average,Total Matches,Sold Out,Average Attendance Percentage
Spain,La Liga,2004,Spotify Camp Nou,FC Barcelona,99354,1377181,72483,19,,73.0
Spain,La Liga,2004,Santiago Bernabéu,Real Madrid,81044,1326326,69807,19,,86.1
Spain,La Liga,2004,Mestalla,Valencia CF,48600,839000,44158,19,1,90.9
Spain,La Liga,2004,Ramón Sánchez-Pizjuán,Sevilla FC,43883,718500,39917,18,2,91.0
Spain,La Liga,2004,Civitas Metropolitano,Atlético de Madrid,68456,693451,43341,16,1,63.3
Spain,La Liga,2004,Benito Villamarín,Real Betis Balompié,59378,650000,34211,19,,57.6
Spain,La Liga,2004,San Mamés,Athletic Bilbao,53289,617564,32503,19,1,61.0
Spain,La Liga,2004,La Romareda,Real Zaragoza,33608,471000,29438,16,,87.6
Spain,La Liga,2004,Reale Arena ,Real Sociedad,39313,411367,21651,19,,55.1
Spain,La Liga,2004,La Rosaleda,Málaga CF,30044,390000,24375,16,1,81.1
Spain,La Liga,2004,Abanca Riazor,Deportivo de La Coruña,32912,376800,25120,15,1,76.3
Spain,La Liga,2004,RCDE Stadium,RCD Espanyol Barcelona,40500,344590,24614,14,,60.8
Spain,La Liga,2004,La Cerámica,Villarreal CF,23500,341500,17974,19,,76.5
Spain,La Liga,2004,Ciutat de València,Levante UD,26354,306206,18012,17,,68.4
Spain,La Liga,2004,El Sadar,CA Osasuna,23576,288198,15168,19,,64.3
Spain,La Liga,2004,Visit Mallorca Estadi,RCD Mallorca,20500,250000,16667,15,1,81.3
Spain,La Liga,2004,Carlos Belmonte,Albacete Balompié,17524,223600,13975,16,,79.8
Spain,La Liga,2004,El Sardinero,Racing Santander,22222,214775,13423,16,,60.4
Spain,La Liga,2004,Coliseum Alfonso Pérez,Getafe CF,16800,199300,13287,15,1,79.1
Spain,La Liga,2004,Los Pajaritos,CD Numancia,8261,118991,7933,15,3,96.0
Spain,La Liga,2005,Spotify Camp Nou,FC Barcelona,99354,1394322,73385,19,,73.9
Spain,La Liga,2005,Santiago Bernabéu,Real Madrid,81044,1390704,73195,19,,90.3
Spain,La Liga,2005,Mestalla,Valencia CF,48600,819000,43105,19,,88.7
Spain,La Liga,2005,Civitas Metropolitano,Atlético de Madrid,68456,792500,41711,19,,60.9
Spain,La Liga,2005,Ramón Sánchez-Pizjuán,Sevilla FC,43883,756950,39839,19,,90.8
Spain,La Liga,2005,Benito Villamarín,Real Betis Balompié,59378,739000,38895,19,,65.5
Spain,La Liga,2005,San Mamés,Athletic Bilbao,53289,700000,36842,19,2,69.1
Spain,La Liga,2005,La Romareda,Real Zaragoza,33608,528596,27821,19,,82.8
Spain,La Liga,2005,Reale Arena ,Real Sociedad,39313,440914,23206,19,,59.0
Spain,La Liga,2005,RCDE Stadium,RCD Espanyol Barcelona,40500,432412,22759,19,,56.2
Spain,La Liga,2005,Abanca Balaídos,Celta de Vigo,29000,387250,20382,19,,70.3
